Frame N BAPnP_Time EPnP_Time SQPnP_Time CPnP_Time BAPnP_R EPnP_R SQPnP_R CPnP_R BAPnP_t EPnP_t SQPnP_t CPnP_t
1 306 0.09993 1.46332 0.079648 0.911365 4.40321 4.40511 3.79173 24.5663 0.0660367 0.0660499 0.103728 2.88369
2 328 0.06645 1.15318 0.101626 0.308978 1.86797 1.86792 1.80629 1.86405 0.0698812 0.0698809 0.0699692 0.0698876
3 336 0.095244 1.4668 0.068851 0.299913 2.06525 2.06652 4.05592 2.27832 0.0345086 0.0345168 0.0957746 0.175905
4 401 0.095148 1.67673 0.068708 0.362598 0.718631 0.718924 1.76589 0.723082 0.0204863 0.0205018 0.0460832 0.0202456
5 546 0.105699 3.94104 0.107631 0.806486 0.553481 0.553922 0.768918 0.490826 0.0162741 0.01627 0.0103697 0.00786157
6 395 0.159595 2.23483 0.095704 0.44764 1.33681 1.33646 2.01325 1.45884 0.0453618 0.0453736 0.0468973 0.0965646
7 333 0.114114 1.54879 0.076176 0.35205 1.34226 1.34206 2.1974 1.32621 0.0508975 0.0508897 0.054331 0.0501254
8 451 0.177063 1.92352 0.086826 0.533374 1.94706 1.94729 2.02336 1.94638 0.0690378 0.0690389 0.0690411 0.0690169
9 361 0.140687 1.88923 0.069925 0.518119 2.71391 2.71571 2.95736 2.66167 0.0480693 0.0480664 0.0582734 0.152738
10 355 0.135378 1.76946 0.147031 0.451472 1.53172 1.53129 1.84073 1.5451 0.0587037 0.05871 0.0499095 0.0586618
11 492 0.136877 2.47803 0.076994 0.586494 1.59002 1.59009 1.5981 1.5907 0.0632429 0.063247 0.0634918 0.0632033
12 426 0.165673 2.2713 0.101809 0.561848 2.06546 2.06662 2.95631 1.49801 0.0517416 0.0517281 0.0671805 0.0907921
13 401 0.12497 1.67491 0.103535 0.467428 1.29064 1.29071 2.3437 1.31523 0.0548926 0.054896 0.0523898 0.053915
14 366 0.133316 1.43294 0.070415 0.461808 1.21971 1.2203 1.20221 1.21579 0.0530995 0.0530996 0.0510812 0.0528731
15 186 0.054433 0.562657 0.05487 0.141418 2.90604 2.90504 2.85711 2.92063 0.0512395 0.0512414 0.0718061 0.039204
16 329 0.079746 1.47286 0.088153 0.352375 2.07487 2.07566 3.37966 2.11718 0.0584992 0.0584984 0.0857534 0.0545929
17 253 0.057254 0.642088 0.056255 0.246512 1.5562 1.55512 1.29472 1.51813 0.0426132 0.0426229 0.0398841 0.0403423
18 402 0.115333 1.51783 0.068147 0.334514 1.53384 1.53392 1.39477 1.51443 0.0302192 0.0302244 0.0362274 0.0292863
19 448 0.123364 1.67129 0.071838 0.394474 0.59177 0.591936 0.576182 0.395369 0.0236011 0.0236124 0.0303278 0.0260037
20 429 0.120584 2.39552 0.088387 0.47674 1.45527 1.45526 1.06506 1.45351 0.0415741 0.041571 0.0385109 0.0408459
21 422 0.121824 1.61464 0.067695 0.345393 1.49458 1.4946 1.48238 1.49707 0.0344296 0.0344289 0.0347793 0.0345139
22 379 0.090466 1.338 0.065618 0.321834 1.81504 1.81533 1.4838 1.79894 0.0361902 0.0361972 0.0335554 0.0354651
23 457 0.089531 1.73899 0.071956 0.393816 1.8854 1.88555 2.20628 1.92886 0.0344954 0.0344968 0.0448556 0.0370273
24 467 0.092203 2.42938 0.178682 0.808598 2.3362 2.33628 3.05372 0.478085 0.0406593 0.0406555 0.0595725 0.3701
25 342 0.252565 1.767 0.166336 0.339341 2.43151 2.43116 3.03035 2.62789 0.0518848 0.0518828 0.0644045 0.0815364
26 345 0.147642 1.96567 0.070107 0.397293 20.8839 2.30446 1.66602 1.91756 0.966447 0.0243466 0.00495034 0.0336656
27 357 0.088695 1.82729 0.069378 0.549921 1.05602 1.05623 1.43328 0.823398 0.0291597 0.0291514 0.0101811 0.0365735
28 386 0.115302 2.01438 0.078691 0.571546 1.50544 1.50553 1.53161 1.46803 0.0257915 0.0257928 0.0213644 0.0232577
29 313 0.072352 1.07703 0.082701 0.312559 1.35008 1.34995 1.36513 1.33283 0.0400945 0.0400958 0.0353844 0.0386515
30 274 0.070565 1.59783 0.105623 0.4052 2.17559 2.17572 1.66898 2.17621 0.0524684 0.052482 0.0129293 0.0527135
31 334 0.099997 1.38496 0.09997 0.442788 1.42781 1.42809 1.36383 1.43276 0.0454971 0.0454987 0.0422553 0.0454384
32 221 0.066244 0.721699 0.06489 0.22482 1.26721 1.26786 1.63724 1.33215 0.0538041 0.0538151 0.0559563 0.0480877
33 218 0.046125 0.446525 0.048984 0.186469 2.4542 2.45421 2.6107 2.44508 0.0586571 0.058657 0.0677059 0.0589251
34 228 0.056752 0.664093 0.05966 0.18858 2.05589 2.05448 2.46295 1.99955 0.0942076 0.0942059 0.103218 0.0956261
35 213 0.075071 0.615986 0.066399 0.220745 1.51347 1.51379 2.09354 0.503663 0.0451191 0.0451346 0.0612152 0.0883862
36 239 0.059431 0.574772 0.05269 0.193913 2.2321 2.23183 2.55437 2.30729 0.0479623 0.0479622 0.0522252 0.0524012
37 274 0.06693 1.0561 0.059277 0.267979 2.02829 2.02789 2.13448 1.99525 0.0572 0.0571882 0.0613741 0.057325
38 241 0.050329 0.599044 0.050653 0.190063 1.77501 1.77513 1.82182 1.7739 0.037081 0.0370827 0.0362235 0.0371257
39 221 0.055258 0.472362 0.062999 0.175099 2.41925 2.4194 2.62635 2.40521 0.0412313 0.0412306 0.0518575 0.0377025
40 225 0.047733 0.506501 0.049033 0.178454 2.94208 2.94214 2.90401 2.94334 0.070361 0.0703576 0.065884 0.070577
41 165 0.067085 0.582862 0.067157 0.140837 3.67919 3.68014 2.53854 3.73254 0.0613746 0.0613722 0.0471015 0.084762
42 257 0.112254 1.23728 0.071771 0.305446 2.04373 2.04378 2.2668 2.2005 0.0642972 0.0642982 0.0604118 0.0631637
43 139 0.078223 0.591748 0.201316 0.149216 7.13786 7.13845 8.97944 nan 0.109394 0.1094 0.223639 -nan
44 191 0.070283 0.719963 0.104898 0.189951 2.69994 2.69999 3.02522 2.59411 0.0421242 0.0421376 0.0417536 0.0396454
45 383 0.126352 2.6614 0.125511 0.479278 2.9959 2.99632 3.76362 2.03693 0.0485627 0.048566 0.0640766 0.282424
46 210 0.091783 0.699325 0.132763 0.275646 5.52588 5.52668 6.4683 7.68782 0.10794 0.107949 0.123313 1.01432
47 327 0.092772 1.60264 0.083413 0.464189 2.20931 2.20966 2.3578 2.20221 0.0166887 0.016676 0.025442 0.0221001
48 399 0.09873 1.65491 0.073154 23.7678 2.0544 2.05436 1.77925 2.05147 0.0359572 0.0359513 0.0250086 0.0350376
49 393 0.11967 2.07792 0.092091 0.446209 2.71859 2.71773 3.14709 2.73709 0.0709748 0.0709588 0.0579934 0.0708344
50 265 0.096773 1.42202 0.08781 0.419751 2.18023 2.18073 2.2061 2.19609 0.0335477 0.0335366 0.0199853 0.0343585
51 550 0.141625 3.04799 0.118831 0.591829 1.14646 1.14623 2.03207 1.03586 0.0366139 0.0366141 0.033695 0.0317724
52 501 0.131017 2.29384 0.118861 0.588889 1.56437 1.56447 1.69634 1.55643 0.0409809 0.0409831 0.0356024 0.0404916
53 473 0.12113 2.31207 0.08517 0.55584 1.60604 1.60604 1.58193 1.61464 0.0432064 0.0432074 0.0419302 0.0433834
54 382 0.137477 2.35453 0.240016 0.516021 4.01648 4.01617 3.2094 6.82018 0.0949415 0.0949493 0.052952 0.268096
55 398 0.129719 1.59691 0.189145 0.409698 1.88864 1.88783 2.67261 2.00348 0.0677798 0.0677759 0.0613637 0.0624716
56 459 0.145291 1.6181 0.087682 0.428324 2.66798 2.66817 2.77882 2.6673 0.0543792 0.0543766 0.0562081 0.0544469
57 352 0.115235 1.30597 0.074082 0.297082 2.68717 2.68722 2.5579 2.71587 0.0634741 0.0634733 0.0619311 0.0636882
58 333 0.107903 1.45587 0.094479 0.371958 2.09776 2.09784 2.13405 2.24797 0.0518619 0.0518697 0.0499526 0.0565888
59 372 0.165096 2.13064 0.085621 0.260897 1.53118 1.52879 4.55807 2.50934 0.0307637 0.0307609 0.0707976 0.0404066
60 680 0.134591 2.47375 0.097954 0.396158 1.48122 1.48099 1.52111 1.64153 0.0158823 0.015879 0.0181887 0.0217285
61 509 0.100739 1.18165 0.074998 0.303784 1.39069 1.3896 1.80947 1.39245 0.0196527 0.0196452 0.0252385 0.0195936
62 608 0.145861 1.66145 0.08872 0.426748 1.38087 1.3809 0.850323 1.39323 0.0197126 0.0197134 0.0148369 0.0195753
63 660 0.129476 2.03305 0.170483 0.512244 0.691234 0.691109 0.669145 0.788147 0.018275 0.0182775 0.0186112 0.0179144
64 619 0.174787 2.01029 0.122592 0.423764 1.21182 1.2118 0.952022 1.21021 0.0228821 0.022884 0.0221014 0.0225939
65 624 0.125503 2.54455 0.210745 0.76064 0.926027 0.925899 1.05769 0.924748 0.0167182 0.0167185 0.0127252 0.0160616
66 603 0.192046 1.81576 0.091322 0.414563 1.39258 1.39317 1.17914 1.38461 0.0203111 0.0203209 0.0136719 0.0201581
67 719 0.162788 2.07445 0.104339 0.477762 0.277897 0.277845 0.388483 0.27548 0.018507 0.0185035 0.0171763 0.0182558
68 697 0.184207 2.5111 0.101167 0.829479 0.484774 0.484746 0.423604 0.484716 0.0139494 0.0139483 0.0129845 0.0139481
69 781 0.195751 2.57248 0.137119 0.518722 1.18208 1.18184 1.01884 1.1828 0.0254777 0.0254747 0.0233587 0.0255066
70 757 0.239295 2.90462 0.123815 0.609315 1.85994 1.85826 1.43627 1.85267 0.0447835 0.0447616 0.0343649 0.0357657
71 724 0.151513 3.07997 0.13277 0.761453 0.754563 0.754524 0.535302 0.747307 0.0189207 0.0189155 0.0153144 0.0182149
72 721 0.201227 3.00179 0.169197 0.681589 0.983972 0.984281 1.80466 0.981811 0.00534513 0.00533868 0.0213856 0.00777072
73 773 0.336256 2.92065 0.109717 0.577019 0.73357 0.733625 0.389188 0.732263 0.0257464 0.0257532 0.0107603 0.0261927
74 523 0.148518 2.26079 0.089536 0.512796 18.6003 2.52728 1.37101 2.78064 0.676404 0.0949642 0.0380836 0.078714
75 558 0.128043 1.6781 0.086168 0.399747 1.81816 1.81831 1.87403 1.82762 0.0226796 0.0226727 0.0202106 0.0228039
76 545 0.178854 1.80361 0.110456 0.428463 2.59129 2.59129 1.79044 2.62889 0.0557029 0.0557177 0.0265577 0.0569156
77 350 0.154132 1.03483 0.070257 0.256257 2.39957 2.39921 2.20998 2.4024 0.0475557 0.0475471 0.0256421 0.0466213
78 436 0.155634 1.40647 0.124009 0.639474 1.44543 1.44556 1.36684 1.44223 0.0119743 0.01198 0.0191687 0.011139
79 576 0.179574 1.86473 0.101461 0.588289 1.89784 1.89803 1.82731 1.90068 0.0231948 0.0231935 0.022618 0.0229356
80 633 0.181172 1.79612 0.092751 0.412505 1.16709 1.16653 0.891593 1.14732 0.0197081 0.0197069 0.0350393 0.0222245
81 719 0.197458 2.71247 0.131469 0.442299 17.9923 2.52615 1.00441 2.79702 0.963423 0.0554066 0.025415 0.0554532
82 490 0.17531 1.54506 0.085276 0.308183 2.26275 2.26329 1.34197 2.25721 0.0427149 0.0427392 0.0915617 0.0426833
83 490 0.137657 1.25585 0.091176 0.307494 1.13093 1.1311 3.17868 3.63073 0.0556927 0.0556827 0.108358 0.336904
84 405 0.113639 1.29513 0.070015 0.240286 1.70709 1.70663 0.616236 1.51548 0.0212271 0.0212271 0.0438002 0.0181726
