Frame N BAPnP_Time EPnP_Time EPnPLM_Time SQPnP_Time CPnP_Time BAPnP_R EPnP_R EPnPLM_R SQPnP_R CPnP_R BAPnP_t EPnP_t EPnPLM_t SQPnP_t CPnP_t
1 306 0.101422 0.229528 1.52945 0.08206 0.296723 4.40321 0.845986 4.40511 3.79173 24.5147 0.0660367 0.0416083 0.0660499 0.103728 2.87587
2 328 0.065649 0.134207 0.980745 0.059828 0.263186 1.86797 1.74194 1.86792 1.80629 1.86408 0.0698812 0.0664781 0.0698809 0.0699692 0.0698877
3 336 0.093027 0.134861 1.62317 0.071557 0.300128 2.06525 2.06843 2.06652 4.05592 2.27573 0.0345086 0.0451339 0.0345168 0.0957746 0.1758
4 401 0.095184 0.177228 1.65213 0.071122 0.3383 0.718631 1.59615 0.718924 1.76589 0.722818 0.0204863 0.0250063 0.0205018 0.0460832 0.0202315
5 546 0.105632 0.303933 2.40461 0.080302 0.547196 0.553481 0.921721 0.553922 0.768918 0.490177 0.0162741 0.0206196 0.01627 0.0103697 0.00784319
6 395 0.110474 0.248309 2.11752 0.078602 0.438191 1.33681 0.885289 1.33646 2.01325 1.45836 0.0453618 0.0446466 0.0453736 0.0468973 0.0964525
7 333 0.08492 0.200192 2.06739 0.072634 0.353569 1.34226 1.79207 1.34206 2.1974 1.32642 0.0508975 0.052734 0.0508897 0.054331 0.0501335
8 451 0.112447 0.282396 2.34587 0.076757 0.443036 1.94706 1.96939 1.94729 2.02336 1.94614 0.0690378 0.0691799 0.0690389 0.0690411 0.0690159
9 361 0.101245 0.146456 1.44927 0.067922 0.336796 2.71391 2.59644 2.71571 2.95736 2.65905 0.0480693 0.0576552 0.0480664 0.0582734 0.152491
10 355 0.084735 0.141175 1.06332 0.064493 0.285825 1.53172 1.33877 1.53129 1.84073 1.54555 0.0587037 0.0582036 0.05871 0.0499095 0.0586553
11 492 0.114715 0.25922 1.88824 0.074767 0.553275 1.59002 1.4514 1.59009 1.5981 1.59063 0.0632429 0.0637601 0.063247 0.0634918 0.0631992
12 426 0.119419 0.236447 2.57817 0.131931 0.732499 2.06546 3.18093 2.06662 2.95631 1.49595 0.0517416 0.0618949 0.0517281 0.0671805 0.090652
13 401 0.128437 0.271869 2.47254 0.121297 0.542894 1.29064 1.58808 1.29071 2.3437 1.31508 0.0548926 0.0508311 0.054896 0.0523898 0.053915
14 366 0.118584 0.184098 1.96886 0.072448 0.469514 1.21971 1.10454 1.2203 1.20221 1.21519 0.0530995 0.0523819 0.0530996 0.0510812 0.0528733
15 186 0.09985 0.179446 0.602921 0.074912 0.225255 2.90604 1.95039 2.90504 2.85711 2.92198 0.0512395 0.0572976 0.0512414 0.0718061 0.0391864
16 329 0.081493 0.189645 1.65644 0.101234 0.493282 2.07487 2.40586 2.07566 3.37966 2.1164 0.0584992 0.0652063 0.0584984 0.0857534 0.0545931
17 253 0.056694 0.117901 0.839593 0.136636 0.348102 1.5562 1.12162 1.55512 1.29472 1.51915 0.0426132 0.0447315 0.0426229 0.0398841 0.0403305
18 402 0.114014 0.179784 1.79629 0.075746 0.458254 1.53384 1.07239 1.53392 1.39477 1.51435 0.0302192 0.0264989 0.0302244 0.0362274 0.0292814
19 448 0.978947 0.571967 2.65242 0.140749 0.719248 0.59177 1.56925 0.591936 0.576182 0.395584 0.0236011 0.0643799 0.0236124 0.0303278 0.025967
20 429 0.157831 0.273174 2.06646 0.112087 0.438865 1.45527 0.895355 1.45526 1.06506 1.45349 0.0415741 0.0327828 0.041571 0.0385109 0.0408501
21 422 0.093837 0.237808 1.49487 0.076113 0.378868 1.49458 1.41887 1.4946 1.48238 1.49707 0.0344296 0.0329208 0.0344289 0.0347793 0.0345148
22 379 0.092444 0.150865 1.73055 0.075534 0.345155 1.81504 1.22723 1.81533 1.4838 1.79864 0.0361902 0.0437182 0.0361972 0.0335554 0.0354583
23 457 0.093146 0.260707 2.21778 0.163277 0.604449 1.8854 2.0954 1.88555 2.20628 1.9287 0.0344954 0.0413989 0.0344968 0.0448556 0.0370264
24 467 0.209423 0.494349 2.38629 0.14465 0.732948 2.3362 2.563 2.33628 3.05372 0.486368 0.0406593 0.0636269 0.0406555 0.0595725 0.372133
25 342 0.106636 0.147061 2.31693 0.078081 0.366947 2.43151 2.16531 2.43116 3.03035 2.62792 0.0518848 0.0347412 0.0518828 0.0644045 0.0815335
26 345 0.117112 0.18931 1.70532 0.075272 0.30456 20.8839 1.38522 2.30446 1.66602 1.91711 0.966447 0.0535299 0.0243466 0.00495034 0.03364
27 357 0.08886 0.283198 1.62046 0.121671 0.438714 1.05602 1.27782 1.05623 1.43328 0.823025 0.0291597 0.0216258 0.0291514 0.0101811 0.0365918
28 386 0.323962 0.230709 1.75609 0.136495 0.482489 1.50544 1.51505 1.50553 1.53161 1.46797 0.0257915 0.0261316 0.0257928 0.0213644 0.0232588
29 313 0.070095 0.17053 1.44527 0.070671 0.309457 1.35008 1.33906 1.34995 1.36513 1.33294 0.0400945 0.0349212 0.0400958 0.0353844 0.0386495
30 274 0.09352 0.138899 1.08795 0.095631 0.264488 2.17559 1.5246 2.17572 1.66898 2.17605 0.0524684 0.0483374 0.052482 0.0129293 0.0526994
31 334 0.070388 0.214481 1.26 0.122338 0.40147 1.42781 1.31299 1.42809 1.36383 1.43249 0.0454971 0.0454941 0.0454987 0.0422553 0.0454365
32 221 0.051832 0.111193 0.58681 0.060399 0.222212 1.26721 1.45175 1.26786 1.63724 1.33155 0.0538041 0.0709175 0.0538151 0.0559563 0.0480819
33 218 0.070562 0.129724 0.556539 0.063446 0.339821 2.4542 2.60426 2.45421 2.6107 2.44504 0.0586571 0.064844 0.058657 0.0677059 0.0589257
